source,source_id,title,summary,s_category,provider,region,target_group,target_tags,target_age,target_age_min,target_age_max,target_detail,income_condition,startup_stage,support_type,apply_start,apply_end,additional_conditions,required_documents,application_method,detail_url,_scope,_scope_reason,norm_title,norm_provider,norm_period,category,subcategory
biz,PBLN_000000000121463,[인천] 2026년 지피지기 투자유치 지원사업 참여기업 모집 공고,"인천광역시와 (재)인천테크노파크에서는 인천 창업기업의 투자 성공률 제고를 위하여 투자유치 역량 강화 맞춤형 컨설팅을 지원하고자 하오니 많은 관심과 참여를 바랍니다.
☞ 인천 소재(본사ㆍ공장ㆍ연구소) 창업 7년 이내 기업(기술창업, 신산업창업)
※ 단, 신산업 창업 분야에 관한 규정(중소벤처기업부고시 제2024-2호) 제3조 제1항에 따른 기업은 창업 10년 이내까지 신청 가능
☞ 투자 전문 컨설팅을 통한 IR 자료 도출 및 투자 검토 추진 지원
※ 자세한 지원내용 공고문 참조",경영,인천테크노파크,인천광역시,창업벤처,초기창업기업,,,,,,,컨설팅,2026-04-27,2026-05-15,,온라인 접수 (비즈오케이),온라인 접수 (비즈오케이),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121463,main,primary,인천2026년지피지기투자유치지원사업참여기업모집공고,인천테크노파크,2026-04-27~2026-05-15,경영,컨설팅
biz,PBLN_000000000121462,2026년 글로벌 SaaS 마켓플레이스 지원사업 국내 SaaS 중소ㆍ중견 지원기업 모집 공고,"본 사업은 「2026년 글로벌 SaaS 마켓플레이스 지원사업」을 통해 국내 SaaS 중소ㆍ중견 기업에 글로벌 CSP 마켓플레이스 등록 및 최적화, 제품 고도화, 현지 홍보를 지원하고자 합니다. 이를 위해 다음과 같이 공고하오니, 국내 SaaS 기업의 많은 관심과 참여 부탁드립니다.
☞ SaaS 마켓플레이스를 통해 해외 진출을 희망하는 국내 중소ㆍ중견 SW기업(법인)
※ 자세한 신청자격 공고문 참조
☞ 마켓플레이스 등록 및 최적화, 제품 고도화, 해외 현지 홍보 지원
※ 자세한 지원내용 공고문 참조",판로/수출,한국정보통신기술협회,과학기술정보통신부,중소기업,중소기업,,,,,,,해외진출,2026-04-27,2026-05-15,,"온라인 접수
- 기타 서류 제출 필요시 이메일 접수(gsmp@tta.or.kr) 요망
※ Email 제목(예) : [2026 GSMP] 지원기업 신청 [신청기업명]","온라인 접수
- 기타 서류 제출 필요시 이메일 접수(gsmp@tta.or.kr) 요망
※ Email 제목(예) : [2026 GSMP] 지원기업 신청 [신청기업명]",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121462,main,primary,2026년글로벌saas마켓플레이스지원사업국내saas중소ㆍ중견지원기업모집공고,한국정보통신기술협회,2026-04-27~2026-05-15,수출,해외진출
biz,PBLN_000000000121461,2026년 인천스타트업파크 TRYOUT 민간 실증사업 추가 모집 공고,"인천경제자유구역청, 인천테크노파크, 민간 협력파트너는 스타트업이 직접 확보하기 어려운 다양한 실증자원을 제공하고, 실증사업 추진을 통해 협력파트너의 수요기술 해결과 스타트업의 제품 및 서비스 조기 상용화를 지원하고자 다음과 같이 추가 모집 공고를 게시하오니 많은 참여 바랍니다.
☞ 혁신 기술 적용된 제품ㆍ서비스를 보유(기술성숙도 TRL 5단계 이상)하고 협력파트너의 수요기술 해결과 실증자원 활용에 수요가 있는 기업
- 창업 7년(신산업 창업 분야 10년) 이내 관내 기업 또는 이전 확약기업
※ 인천 관외 기업은 협약 체결 후 3개월 이내 본점ㆍ연구소ㆍ공장 중 1개소 이전 필수
(공고일 기준 업력 10년 이상 기업은 지원예산 없이 자부담으로 자원매칭형만 지원 가능)
☞ 현장에 적용, 실증 가능한 제품 또는 서비스를 보유한 기업을 대상으로 실증자원과 함께 실증비용(인건비, 설치비, 재료비, 철거비 등)지원",기술,인천테크노파크,인천광역시,창업벤처,"스타트업,초기창업기업",,,,,,,시험/인증,2026-04-27,2026-05-08,,온라인 접수(인천스타트업파크),온라인 접수(인천스타트업파크),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121461,main,primary,2026년인천스타트업파크tryout민간실증사업추가모집공고,인천테크노파크,2026-04-27~2026-05-08,기술,시험/인증
biz,PBLN_000000000121460,[경북] 2026년 ASD Market Week K-Goods Fair 공동관 참가기업 모집 공고,"경상북도와 경상북도경제진흥원은 북미 대표 소비재 전시회 참가를 통한 현지 네트워크 구축과 해외 판로 개척을 희망하는 도내 수출 기업을 다음과 같이 모집하오니, 많은 참여 바랍니다.
☞ 경북 소재 중소기업으로 제조 또는 수출하는 기업
※ 세부 지원 자격(아래 3가지 중 1가지 요건에 해당)
- 경북도내 소재한 공장등록증 보유 중소기업
- 제조시설면적 500m2 미만으로 건물건축물대장 용도가 경북도내 소재로 공장 또는 제조업소로 명시된 기업
- 수출신고필증 내 수출대행자 또는 수출화주 또는 제조자가 경북소재로 표기
☞ 전시참가비, 전시운영비, 통역 및 물류비 지원
※ 자세한 지원내용 공고문 참조",판로/수출,경상북도경제진흥원,경상북도,중소기업,중소기업,,,,,,,해외진출,2026-04-27,2026-05-13,,"이메일 접수 (gulfla9871@gepa.kr)
※ 개인ㆍ기업 정보 수집ㆍ활용 동의서, 참여확인서는 직접 프린트해서 서명하여 스캔파일(PDF)로 제출
※ jpg, png 등 이미지파일 사용금지, 페이지나누기(모아찍기) 금지","이메일 접수 (gulfla9871@gepa.kr)
※ 개인ㆍ기업 정보 수집ㆍ활용 동의서, 참여확인서는 직접 프린트해서 서명하여 스캔파일(PDF)로 제출
※ jpg, png 등 이미지파일 사용금지, 페이지나누기(모아찍기) 금지",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121460,main,primary,경북2026년asdmarketweekkgoodsfair공동관참가기업모집공고,경상북도경제진흥원,2026-04-27~2026-05-13,수출,해외진출
biz,PBLN_000000000121459,[전남] 2026년 중소기업 밀집지역 위기대응 체계 구축사업 핀셋지원사업 모집 공고,"전라남도 위기지원센터에서 추진 중인 「2026년 중소기업 밀집지역 위기대응 체계 구축사업」 내 핀셋지원사업을 다음과 같이 추진하오니, 참여를 희망하는 해당지역 중소기업들의 많은 신청 바랍니다.
☞ 전라남도 2026년 상반기 핀셋지원사업 대상 중소기업 밀집지역 소재 중소기업
☞ 핀셋지원 프로그램(기업당 최대 1,000만원) 지원
- 기술(제품 고급화, 시제품 제작 등), 사업화(바이어 및 거래처발굴, 제품디자인 개발 등), 수출(해외 마케팅ㆍ전시회 참가 지원), 중동피해 기업(물류비) 지원
※ 자세한 지원내용 공고문 참조",기술,전남테크노파크,전라남도,중소기업,중소기업,,,,,,,기술사업화/이전/지도,2026-04-27,2026-05-11,,온라인 접수 (전남데이터플랫폼),온라인 접수 (전남데이터플랫폼),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121459,main,primary,전남2026년중소기업밀집지역위기대응체계구축사업핀셋지원사업모집공고,전남테크노파크,2026-04-27~2026-05-11,기술,기술사업화/이전/지도
biz,PBLN_000000000121458,[경북] 경주시 2026년 산업안전환경 개선사업 지원기업 모집 재공고,"경상북도, 경주시 주관 2026년「산업안전 환경개선사업」추진계획을 다음과 같이 공고하오니 지원을 받고자 하는 기업체는 신청하여 주시기 바랍니다.
☞「중소기업기본법」제2조에 따른 관내 중소기업
☞ 업체당 최대 1,600만원 지원(안전진단비용 200만원, 시설개선비용 1,400만원)",인력/일자리,기초자치단체,경상북도,중소기업,중소기업,,,,,,,작업환경개선,2026-04-27,2026-05-08,,"우편, 이메일, 팩스 접수
- 접수처 : 경상북도 경주시 양정로 260(동천동, 경주시청), 안전정책과  
- 이메일 : bao97@korea.kr, sun5650@nate.com 
- 팩스 : 054-760-7420, 054-278-5144","우편, 이메일, 팩스 접수
- 접수처 : 경상북도 경주시 양정로 260(동천동, 경주시청), 안전정책과  
- 이메일 : bao97@korea.kr, sun5650@nate.com 
- 팩스 : 054-760-7420, 054-278-5144",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121458,main,primary,경북경주시2026년산업안전환경개선사업지원기업모집재공고,기초자치단체,2026-04-27~2026-05-08,인력,작업환경개선
biz,PBLN_000000000121457,[전북] 2026년 바이오 지역산업 역량강화 지원사업 비R&D 지원계획 공고,"전북특별자치도내 바이오 기업의 역량강화 및 전주기 기술사업화 촉진을 위하여 「2026년 바이오 지역산업 역량강화 지원사업 비R&D 기업지원」계획을 다음과 같이 공고하오니 관심있는 기업의 많은 참여를 바랍니다.
☞ 접수 마감일 기준 도내 소재 중소기업(법인 및 개인사업자)이거나 전주ㆍ익산ㆍ정읍시에 투자를 확약한 기업
- 도내 창업(기술)보육센터 입주기업 또는 도내에 공장등록을 하였거나, 사업장이 도내에 소재한 기업
- 전주ㆍ익산ㆍ정읍시에 투자를 확약한 기업의 경우, 신청서류 제출시 체결 투자협약서 제출 必
☞ 비R&D 지원
- 기술 지원 : 시제품 제작, 시험 인증, 지식재산권 확보 지원
- 사업화 지원 : 디자인, 마케팅, 컨설팅 지원",기술,전북테크노파크,전북특별자치도,중소기업,중소기업,,,,,,,기술사업화/이전/지도,2026-04-27,2026-05-26,,온라인 접수 (전북과학기술종합정보시스템),온라인 접수 (전북과학기술종합정보시스템),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121457,main,primary,전북2026년바이오지역산업역량강화지원사업비rd지원계획공고,전북테크노파크,2026-04-27~2026-05-26,기술,기술사업화/이전/지도
biz,PBLN_000000000121456,[부산] 2026년 치과기공소 스마트 환경개선사업 기업지원 모집 공고,"(재)부산테크노파크에서는 부산지역 치과기공소의 스마트환경개선을 위해 치과기공소를 대상으로 아래와 같이 지원사업을 시행하오니 관심 있는 기업의 많은 신청바랍니다.
☞ 부산광역시 소재의 치과기공소업체
☞ 디지털 제조공정 적용에 따른 생산시스템 개선 지원(기업별 7,500천원 이내)
- 디지털 설계ㆍ제조 기반 공정 개선 지원
- CAD/CAM 및 3D 스캐닝ㆍ출력 시스템 도입 지원
- 공정 통합 운영을 위한 장비 및 소프트웨어 활용 지원",기술,부산테크노파크,부산광역시,중소기업,중소기업,,,,,,,기술인력/장비지원,2026-04-27,2026-05-08,,"이메일 접수 (ksinichi@btp.or.kr)
※ 접수 후 전화하여 접수확인 필수","이메일 접수 (ksinichi@btp.or.kr)
※ 접수 후 전화하여 접수확인 필수",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121456,main,primary,부산2026년치과기공소스마트환경개선사업기업지원모집공고,부산테크노파크,2026-04-27~2026-05-08,기술,기술인력/장비지원
biz,PBLN_000000000121455,[부산] 2026년 차세대 고효율 전력반도체 실증인프라 기업지원 모집 공고,"(재)부산테크노파크 전력반도체센터에서 추진중인「차세대 고효율 전력반도체 실증 인프라」사업과 관련하여 세부 기업지원 분야인 시제품제작, 기술컨설팅 및 신뢰성 시험ㆍ평가ㆍ인증 지원을 위하여 부산 지역 내ㆍ외 전력반도체 관련 기업의 지원신청 접수를 안내하오니 많은 참여 바랍니다.
☞ 부산 지역 내ㆍ외 전력반도체 관련 기업
☞ 제품고급화, 기술제품 판로개척 지원, 기술컨설팅, 신뢰성시험ㆍ평가ㆍ인증지원",기술,부산테크노파크,부산광역시,중소기업,중소기업,,,,,,,기술사업화/이전/지도,2026-05-04,2026-05-11,,이메일 접수(yz848@btp.or.kr),이메일 접수(yz848@btp.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121455,main,primary,부산2026년차세대고효율전력반도체실증인프라기업지원모집공고,부산테크노파크,2026-05-04~2026-05-11,기술,기술사업화/이전/지도
biz,PBLN_000000000121453,[부산] 2026 화장품뷰티산업 사업화 지원사업 지원기업 모집 공고,"부산광역시와 (재)부산테크노파크는 지역 화장품뷰티산업의 기술개발 및 제조역량을 강화하고, 기술 고도화와 첨단기술의 접목을 통한 디지털전환 등 전방위적 사업화 지원을 통해 B-뷰티 강소기업을 육성하고자「2026 화장품뷰티산업 사업화 지원」을 시행하오니 역량 있는 지역 내 화장품뷰티 분야 제조 또는 전문판매 기업의 많은 참여를 바랍니다.
☞ 본사 또는 주된 사업장 소재지가 부산광역시인 화장품 제조 또는 전문판매업을 영위하고 있는 중소기업(개인사업자 포함)
☞ 성장단계별 맞춤형 사업화 지원 및 국내 전시회 참가 지원
※ 자세한 지원내용 공고문 참조",경영,부산테크노파크,부산광역시,중소기업,중소기업,,,,,,,디자인/상품화/사업화,2026-04-21,2026-05-06,,이메일 접수 (chul7447@btp.or.kr),이메일 접수 (chul7447@btp.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121453,main,primary,부산2026화장품뷰티산업사업화지원사업지원기업모집공고,부산테크노파크,2026-04-21~2026-05-06,경영,디자인/상품화/사업화
