test_id,test_type,difficulty,query,filter_region,filter_category,filter_age,expected_source_id,expected_title,note
TC_HARD_012,통합검색,상,집 떠나서 혼자 살기 시작하는 청년 도움 받을만한 정책,,,,20260430005400212955,부산 자립준비청년 자립정착금 지원,자립준비를 완전 일상어로 변환
TC_HARD_013,통합검색,상,내 가게 디자인 새로 하고 싶은데 도와주는 곳 있어,,,,PBLN_000000000121532,[부산] 2026년 2차 중소기업 디자인개발 지원사업,중소기업 디자인개발을 자영업자 톤으로
TC_HARD_014,통합검색,상,대기업이랑 협업해서 우리 스타트업 키울 기회,,,,PBLN_000000000121354,2026년 12기 드림벤처스타 지원사업,오픈이노베이션을 일상어로
TC_HARD_015,통합검색,상,우리 회사 환경오염 측정기 다는 데 돈 보조해줘,,,,PBLN_000000000121390,[경기] 김포시 2026년 사물인터넷(IoT) 측정기기 부착 지원사업,사물인터넷 측정기기를 일상어로
TC_HARD_016,통합검색,상,네이버에서 우리 회사 상품 광고하고 싶은데 지원받을 수 있어,,,,PBLN_000000000121388,[경기] 2026년 중소기업 마케팅 지원사업 (네이버 오늘의집),온라인 마케팅 지원을 플랫폼 중심으로
TC_HARD_017,통합검색,상,부산에서 작은 정보보호 회사 키우는 데 돈 주는 사업,,,,PBLN_000000000121469,[부산] 정보보호기업 성장지원 모집 공고,정보보호기업 성장지원을 풀어씀
TC_HARD_018,통합검색,중,제주에서 임대주택 들어가고 싶은 신혼부부,,,,20260421005400212805,공공임대주택 공급 (제주),공공임대주택 키워드 유지하되 지역+상황 추가
TC_HARD_019,통합검색,중,광주에서 청년들 같이 살 수 있는 셰어하우스 입주,,,,20260429005400212916,광산청년온가 입주자 모집 재공고,청년온가를 셰어하우스로 의역
TC_HARD_020,통합검색,중,기후 관련 기술 가진 서울 스타트업 키우는 사업,,,,PBLN_000000000121350,[서울] 2026년 기후테크 오픈이노베이션 지원사업,기후테크 오픈이노베이션을 풀어씀
TC_HARD_021,통합검색,중,제조업 안전사고 막아주는 사업장 보조금,,,,PBLN_000000000121442,[인천] 2026년 소규모 제조업 중대재해 예방 안전조치 지원사업,중대재해 예방 안전조치를 일상어로 풀어씀
TC_HARD_022,통합검색,중,인천 스타트업 실제 환경에서 기술 테스트 해보는 사업,,,,PBLN_000000000121461,2026년 인천스타트업파크 TRYOUT 민간 실증사업,민간 실증사업을 일상어로 풀어씀
TC_HARD_023,통합검색,상,약 만드는 회사 외국 진출 도와주는 사업,,,,PBLN_000000000121357,2026년 바이오기업 해외진출 지원사업,바이오를 약 만드는 회사로 의역
TC_HARD_024,통합검색,중,대구에서 의료 헬스케어 분야 스타트업 키우는 사업,,,,PBLN_000000000121426,[대구] 2026년 BIT융합캠퍼스(의료·헬스·바이오) 지원사업,BIT융합캠퍼스를 의미 풀어씀
TC_HARD_025,통합검색,상,아날로그 회사를 디지털 회사로 바꾸게 도와주는 교육,,,,PBLN_000000000121417,[대구] 2026년 디지털전환 현장캠퍼스 지원,디지털전환을 완전 일상어로 변환
TC_HARD_026,통합검색,중,울산 현대중공업과 함께하는 조선 기술 공모전,,,,177341,울산창조경제혁신센터-HD현대중공업 스마트 조선해양 기술공모전,고유명사 일부 유지
TC_HARD_027,통합검색,상,소프트웨어 기업 새로운 사업 아이디어 만들게 도와주는 사업,,,,PBLN_000000000121531,[세종] 2026년 SW융합 신규 비즈니스 모델 수립 지원사업,SW융합 신규 비즈니스 모델을 일상어로
TC_HARD_028,통합검색,중,세종에서 정보보호 기술 가진 회사 키우는 사업,,,,PBLN_000000000121450,[세종] 2026년 정보보호 기업성장 지원사업,정보보호 기업성장을 풀어씀
TC_HARD_029,통합검색,상,수출하는 회사 해외에서 특허 받게 도와주는 사업,,,,PBLN_000000000121517,[충북] 2026년 수출기업 해외지식재산권 취득지원,해외지식재산권을 특허로 의역
TC_HARD_030,통합검색,중,충북 바이오 헬스 분야 창업 도와주는 곳,,,,PBLN_000000000121396,충북바이오산학융합원 K-바이오헬스 지역센터 지원,K-바이오헬스를 풀어씀
TC_HARD_031,통합검색,상,서천에서 해양 자원 활용한 바이오 사업 지원,,,,PBLN_000000000121527,2026년 서천군 해양수산자원 산업화 육성 지원(바이오),해양수산자원 산업화를 자연어로
TC_HARD_032,통합검색,상,부모님 가게 물려받은 소상공인 도와주는 사업,,,,PBLN_000000000121356,[충남] 2026년 소상공인 가업승계 지원사업,가업승계를 일상어로 변환
TC_HARD_033,통합검색,상,공공 데이터로 창업 아이디어 내는 대회,,,,PBLN_000000000121488,전북특별자치도 공공데이터·AI 활용 창업경진대회,경진대회를 아이디어 내는 대회로 의역
TC_HARD_034,통합검색,중,전북 바이오 분야 회사 역량 키우는 사업,,,,PBLN_000000000121457,[전북] 2026년 바이오 지역산업 역량강화 지원사업,역량강화를 풀어씀
TC_HARD_035,통합검색,중,경남 바다 관련 분야에서 창업하는 사람 지원,,,,PBLN_000000000121504,[경남] 2026년 해양수산 창업·투자지원사업,해양수산을 바다 관련으로 의역
TC_HARD_036,통합검색,상,공장 자동화 빠르게 진행하는 회사 지원,,,,PBLN_000000000121415,[경남] 2026년 경남형 제조 AX 고도화 패스트트랙,제조 AX 고도화 패스트트랙을 일상어로
TC_HARD_037,통합검색,중,경기도에서 제품 품질 인증 받게 도와주는 사업,,,,PBLN_000000000121444,[경기] 군포시 2026년 품질경쟁력 강화 지원사업,품질경쟁력 강화를 풀어씀
TC_HARD_038,통합검색,상,드라마 영화 만드는 회사 제작비 지원해주는 곳,,,,PBLN_000000000121436,[경기] 2026년 문화기술 콘텐츠 제작지원,문화기술 콘텐츠를 드라마 영화로 의역
TC_HARD_039,통합검색,중,크라우드펀딩으로 콘텐츠 만들기 지원 받기,,,,PBLN_000000000121506,2026년 경기 K-콘텐츠 IP융복합 제작지원(크라우드펀딩),크라우드펀딩 키워드 유지
TC_HARD_040,통합검색,중,부산 화장품 뷰티 회사 사업화 도와주는 사업,,,,PBLN_000000000121453,[부산] 2026 화장품뷰티산업 사업화 지원사업,키워드 단순 매칭
TC_HARD_041,통합검색,상,소형 원자력 발전소 부품 만드는 기업 시제품 지원,,,,PBLN_000000000121508,[부산] 2026년 SMR 보조기기 제작지원센터 구축사업,SMR을 소형 원자력 발전소로 의역
TC_HARD_042,통합검색,상,강원도 회사 중국 B2B 전자상거래 플랫폼에 입점하게 지원,,,,PBLN_000000000121514,[강원] 2026년 알리바바닷컴 입점 지원사업,플랫폼명 일상어로 변환
TC_HARD_043,통합검색,상,시골 작은 회사 AI 구독료 보조해주는 사업,,,,PBLN_000000000121406,[강원] 춘천시 2026년 중소기업 AI 구독료 지원사업,중소기업을 시골 작은 회사로 의역
TC_HARD_044,통합검색,중,경북 우수 중소기업 브랜드 인증 받기,,,,PBLN_000000000121528,[경북] 2026년 중소기업 인증브랜드 실라리안,실라리안 고유명사 제거하고 의미만
TC_HARD_045,통합검색,상,천안 회사가 가진 기술을 국제 표준으로 만들게 도와주는 사업,,,,177448,⌜2026년 AICT 표준기술 개발 지원사업⌟ 참여기업 모집 재공고,AICT 표준기술 개발을 일상어로 풀어씀
TC_HARD_046,통합검색,중,전통시장 상인들 공동 브랜드 만들게 지원,,,,PBLN_000000000121489,[전남] 2026년 전통시장·골목상권 공동브랜드 개발지원,공동브랜드 개발을 풀어씀
TC_HARD_047,통합검색,상,좋은 일자리 만드는 회사 인증해주는 사업,,,,PBLN_000000000121529,[전남] 2026년 일자리 우수기업 인증,일자리 우수기업을 일상어로
TC_HARD_048,통합검색,중,농식품 회사 해외 진출 종합 성장 패키지 지원사업,,,,PBLN_000000000121389,2026년 농식품글로벌성장패키지 지원사업,글로벌성장패키지를 종합 성장 패키지로 의역
TC_HARD_049,통합검색,상,싱가포르 AI 전시회에 우리 회사 보내주는 사업,,,,PBLN_000000000121481,싱가포르 Tech Week Singapore 비즈니스 밋업,Tech Week를 AI 전시회로 의역
TC_HARD_050,통합검색,중,공장지대 친환경 디지털 전환 지원사업,,,,PBLN_000000000121499,2026년 스마트그린산업단지 지원사업,스마트그린산업단지를 풀어씀
